file	case	cited
artifact/name.c	test_names	true
cave/find.c	test_cave_find_0	true
cave/find.c	test_cave_find_in_range_0	true
cave/find.c	test_find_nearby_grid_0	true
cave/find.c	test_unbundled_find_0	true
cave/scatter.c	test_scatter_0	true
cave/scatter.c	test_scatter_1	true
cave/scatter.c	test_scatter_2	true
cave/scatter.c	test_scatter_los	true
cave/scatter.c	test_scatter_pred	true
cave/scatter.c	test_scatter_distribution	true
command/lookup.c	test_cmd_lookup_orig	true
command/lookup.c	test_cmd_lookup_rogue	true
effects/chain.c	test_chain1_execute	true
effects/chain.c	test_chain2_execute	true
effects/chain.c	test_chain3_execute	true
effects/chain.c	test_randomneg_execute	true
effects/chain.c	test_random0_execute	true
effects/chain.c	test_random1_execute	true
effects/chain.c	test_random2_execute	true
effects/chain.c	test_randomover_execute	true
effects/chain.c	test_random_stats	true
effects/chain.c	test_nested_random_execute	true
effects/chain.c	test_selectneg_execute	true
effects/chain.c	test_select0_execute	true
effects/chain.c	test_select1_execute	true
effects/chain.c	test_select2_execute	true
effects/chain.c	test_selectover_execute	true
effects/chain.c	test_nested_select_execute	true
effects/chain.c	test_random_select_damages	true
effects/chain.c	test_random_select_avg_damage	true
effects/chain.c	test_random_select_projection	true
effects/chain.c	test_iterate1	true
effects/destruction.c	test_obj_pile_simple	true
effects/destruction.c	test_obj_pile_orphan	true
effects/earthquake.c	test_obj_pile_simple	true
effects/earthquake.c	test_obj_pile_orphan	true
effects/info.c	test_damages	true
effects/info.c	test_avg_damage	true
effects/info.c	test_projection	true
effects/info.c	test_menu_name	true
game/basic.c	test_newgame	true
game/basic.c	test_loadgame	true
game/basic.c	test_stairs1	true
game/basic.c	test_stairs2	true
game/basic.c	test_drop_pickup	true
game/basic.c	test_drop_eat	true
game/mage.c	test_magic_missile	true
message/message.c	test_empty	true
message/message.c	test_add	true
message/message.c	test_fill	true
message/message.c	test_many_repeat	true
message/message.c	test_color	true
message/message.c	test_msg	true
message/message.c	test_sound	true
message/message.c	test_bell	true
message/message.c	test_msgt	true
message/message.c	test_lookup	true
message/message.c	test_sound_lookup	false
