status	bucket	name	file	line	static	evidence
INLINE?	engine	map_info	reference/src/cave-map.c	82	false	identifier present in port sources but not a top-level decl
INLINE?	engine	square_note_spot	reference/src/cave-map.c	226	false	identifier present in port sources but not a top-level decl
INLINE?	engine	square_light_spot	reference/src/cave-map.c	255	false	identifier present in port sources but not a top-level decl
INLINE?	engine	cave_light	reference/src/cave-map.c	277	true	identifier present in port sources but not a top-level decl
INLINE?	engine	cave_unlight	reference/src/cave-map.c	321	true	identifier present in port sources but not a top-level decl
UNMATCHED	engine	cave_room_aux	reference/src/cave-map.c	354	true	
MATCH	engine	light_room	reference/src/cave-map.c	372	false	packages/core/src/game/effect-terrain.ts:94
INLINE?	engine	wiz_light	reference/src/cave-map.c	417	false	identifier present in port sources but not a top-level decl
INLINE?	engine	wiz_dark	reference/src/cave-map.c	488	false	identifier present in port sources but not a top-level decl
MATCH	engine	cave_illuminate	reference/src/cave-map.c	555	false	packages/core/src/gen/cave.ts:2393
MATCH	engine	expose_to_sun	reference/src/cave-map.c	621	false	packages/core/src/game/project-feat.ts:87
UNMATCHED	engine	cave_known	reference/src/cave-map.c	633	false	
MATCH	engine	feat_is_magma	reference/src/cave-square.c	44	false	packages/core/src/world/chunk.ts:26
MATCH	engine	feat_is_quartz	reference/src/cave-square.c	52	false	packages/core/src/world/chunk.ts:30
MATCH	engine	feat_is_granite	reference/src/cave-square.c	60	false	packages/core/src/world/chunk.ts:34
MATCH	engine	feat_is_treasure	reference/src/cave-square.c	68	false	packages/core/src/world/chunk.ts:38
MATCH	engine	feat_is_wall	reference/src/cave-square.c	76	false	packages/core/src/world/chunk.ts:42
MATCH	engine	feat_is_floor	reference/src/cave-square.c	84	false	packages/core/src/world/chunk.ts:46
MATCH	engine	feat_is_trap_holding	reference/src/cave-square.c	92	false	packages/core/src/world/chunk.ts:50
MATCH	engine	feat_is_object_holding	reference/src/cave-square.c	100	false	packages/core/src/world/chunk.ts:57
MATCH	engine	feat_is_monster_walkable	reference/src/cave-square.c	108	false	packages/core/src/world/chunk.ts:64
MATCH	engine	feat_is_shop	reference/src/cave-square.c	116	false	packages/core/src/world/chunk.ts:71
MATCH	engine	feat_is_los	reference/src/cave-square.c	124	false	packages/core/src/world/chunk.ts:75
MATCH	engine	feat_is_passable	reference/src/cave-square.c	132	false	packages/core/src/world/chunk.ts:79
