bucket	static	name	file	line	mechanical	matched_as	port_file
engine	false	cave_known	reference/src/cave-map.c	633	PORTED-AND-CITED	caveknown	core/src/game/known.ts
engine	false	square_isfloor	reference/src/cave-square.c	212	CANDIDATE-RENAMED	isfloor	core/src/world/chunk.ts
engine	false	square_istrappable	reference/src/cave-square.c	220	AREA-WORKED-NO-CANDIDATE		
engine	false	square_isgranite	reference/src/cave-square.c	245	CANDIDATE-RENAMED	isgranite	core/src/world/chunk.ts
engine	false	square_ismagma	reference/src/cave-square.c	262	CANDIDATE-RENAMED	ismagma	core/src/world/chunk.ts
engine	false	square_isquartz	reference/src/cave-square.c	270	CANDIDATE-RENAMED	isquartz	core/src/world/chunk.ts
engine	false	square_iscloseddoor	reference/src/cave-square.c	321	CANDIDATE-RENAMED	iscloseddoor	core/src/world/chunk.ts
engine	false	square_isdoor	reference/src/cave-square.c	340	CANDIDATE-RENAMED	isdoor	core/src/world/chunk.ts
engine	false	square_isstairs	reference/src/cave-square.c	349	CANDIDATE-RENAMED	isstairs	core/src/world/chunk.ts
engine	false	square_isupstairs	reference/src/cave-square.c	358	CANDIDATE-RENAMED	isupstairs	core/src/world/chunk.ts
engine	false	square_isdownstairs	reference/src/cave-square.c	367	CANDIDATE-RENAMED	isdownstairs	core/src/world/chunk.ts
engine	false	square_isoccupied	reference/src/cave-square.c	391	AREA-WORKED-NO-CANDIDATE		
engine	false	square_ismark	reference/src/cave-square.c	424	AREA-WORKED-NO-CANDIDATE		
engine	false	square_isglow	reference/src/cave-square.c	432	CANDIDATE-RENAMED	isglow	core/src/world/view.ts
engine	false	square_wasseen	reference/src/cave-square.c	474	AREA-WORKED-NO-CANDIDATE		
engine	false	square_isfeel	reference/src/cave-square.c	482	AREA-WORKED-NO-CANDIDATE		
engine	false	square_isinvis	reference/src/cave-square.c	498	AREA-WORKED-NO-CANDIDATE		
engine	false	square_iswall_inner	reference/src/cave-square.c	506	CANDIDATE-RENAMED	iswallinner	core/src/world/chunk.ts
engine	false	square_iswall_solid	reference/src/cave-square.c	522	CANDIDATE-RENAMED	iswallsolid	core/src/world/chunk.ts
