bucket	file	total	MATCH	INLINE?	UNMATCHED	unmatchedStatic	names
data-init	reference/src/init.c	217	1	7	209	204	init_file_paths,create_needed_dirs,parse_constants_level_max(s),parse_constants_mon_gen(s),parse_constants_mon_play(s),parse_constants_dun_gen(s),parse_constants_world(s),parse_constants_carry_cap(s),parse_constants_store(s),parse_constants_obj_make(s),parse_constants_player(s),parse_constants_melee_critical(s),parse_constants_melee_critical_level(s),parse_constants_ranged_critical(s),parse_constants_ranged_critical_level(s),parse_constants_o_melee_critical(s),parse_constants_o_melee_critical_level(s),parse_constants_o_ranged_critical(s),parse_constants_o_ranged_critical_level(s),init_parse_constants(s),run_parse_constants(s),check_critical_levels(s),finish_parse_constants(s),cleanup_critical_levels(s),cleanup_o_critical_levels(s),cleanup_constants(s),init_game_constants,cleanup_game_constants(s),parse_world_level(s),init_parse_world(s),run_parse_world(s),finish_parse_world(s),cleanup_world(s),parse_player_prop_type(s),parse_player_prop_code(s),parse_player_prop_desc(s),parse_player_prop_name(s),parse_player_prop_value(s),parse_player_prop_bindui(s),init_parse_player_prop(s),run_parse_player_prop(s),cleanup_player_prop(s),parse_names_section(s),parse_names_word(s),init_parse_names(s),run_parse_names(s),finish_parse_names(s),cleanup_names(s),parse_trap_name(s),parse_trap_graphics(s),parse_trap_appear(s),parse_trap_visibility(s),parse_trap_effect(s),parse_trap_effect_yx(s),parse_trap_dice(s),parse_trap_expr(s),parse_trap_effect_xtra(s),parse_trap_effect_yx_xtra(s),parse_trap_dice_xtra(s),parse_trap_expr_xtra(s),parse_trap_save_flags(s),parse_trap_msg(s),parse_trap_msg_good(s),parse_trap_msg_bad(s),parse_trap_msg_xtra(s),init_parse_trap(s),run_parse_trap(s),finish_parse_trap(s),cleanup_trap(s),parse_feat_code(s),parse_feat_name(s),parse_feat_graphics(s),parse_feat_mimic(s),parse_feat_priority(s),parse_feat_flags(s),parse_feat_digging(s),parse_feat_desc(s),parse_feat_walk_msg(s),parse_feat_run_msg(s),parse_feat_hurt_msg(s),parse_feat_die_msg(s),parse_feat_confused_msg(s),parse_feat_look_prefix(s),parse_feat_look_in_preposition(s),parse_feat_resist_flag(s),init_parse_feat(s),run_parse_feat(s),finish_parse_feat(s),cleanup_feat(s),parse_body_body(s),parse_body_slot(s),init_parse_body(s),run_parse_body(s),finish_parse_body(s),cleanup_body(s),findchart(s),parse_history_chart(s),parse_history_phrase(s),init_parse_history(s),run_parse_history(s),cleanup_history(s),parse_p_race_name(s),parse_p_race_stats(s),parse_p_race_skill_disarm_phys(s),parse_p_race_skill_disarm_magic(s),parse_p_race_skill_device(s),parse_p_race_skill_save(s),parse_p_race_skill_stealth(s),parse_p_race_skill_search(s),parse_p_race_skill_melee(s),parse_p_race_skill_shoot(s),parse_p_race_skill_throw(s),parse_p_race_skill_dig(s),parse_p_race_hitdie(s),parse_p_race_exp(s),parse_p_race_infravision(s),parse_p_race_history(s),parse_p_race_age(s),parse_p_race_height(s),parse_p_race_weight(s),parse_p_race_obj_flags(s),parse_p_race_play_flags(s),init_parse_p_race(s),run_parse_p_race(s),finish_parse_p_race(s),cleanup_p_race(s),parse_realm_name(s),parse_realm_stat(s),parse_realm_verb(s),parse_realm_spell_noun(s),parse_realm_book_noun(s),init_parse_realm(s),run_parse_realm(s),finish_parse_realm(s),cleanup_realm(s),parse_shape_name(s),parse_shape_combat(s),parse_shape_skill_disarm_phys(s),parse_shape_skill_disarm_magic(s),parse_shape_skill_save(s),parse_shape_skill_stealth(s),parse_shape_skill_search(s),parse_shape_skill_melee(s),parse_shape_skill_throw(s),parse_shape_skill_dig(s),parse_shape_obj_flags(s),parse_shape_play_flags(s),parse_shape_values(s),parse_shape_effect(s),parse_shape_effect_yx(s),parse_shape_dice(s),parse_shape_expr(s),parse_shape_effect_msg(s),parse_shape_blow(s),init_parse_shape(s),run_parse_shape(s),finish_parse_shape(s),cleanup_shape(s),parse_class_name(s),parse_class_stats(s),parse_class_skill_disarm_phys(s),parse_class_skill_disarm_magic(s),parse_class_skill_device(s),parse_class_skill_save(s),parse_class_skill_stealth(s),parse_class_skill_search(s),parse_class_skill_melee(s),parse_class_skill_shoot(s),parse_class_skill_throw(s),parse_class_skill_dig(s),parse_class_hitdie(s),parse_class_exp(s),parse_class_max_attacks(s),parse_class_min_weight(s),parse_class_str_mult(s),parse_class_title(s),lookup_option(s),parse_class_equip(s),parse_class_obj_flags(s),parse_class_play_flags(s),parse_class_magic(s),parse_class_book(s),parse_class_book_graphics(s),parse_class_book_properties(s),parse_class_spell(s),parse_class_effect(s),parse_class_effect_yx(s),parse_class_dice(s),parse_class_expr(s),parse_class_effect_msg(s),parse_class_desc(s),init_parse_class(s),run_parse_class(s),finish_parse_class(s),cleanup_class(s),parse_flavor_flavor(s),parse_flavor_kind(s),init_parse_flavor(s),run_parse_flavor(s),finish_parse_flavor(s),cleanup_flavor(s),parse_hint(s),init_parse_hints(s),run_parse_hints(s),finish_parse_hints(s),cleanup_hints(s),cleanup_arrays(s),init_angband,cleanup_angband
data-init	reference/src/obj-init.c	183	1	11	171	167	parse_projection_code(s),parse_projection_name(s),parse_projection_type(s),parse_projection_desc(s),parse_projection_player_desc(s),parse_projection_blind_desc(s),parse_projection_lash_desc(s),parse_projection_numerator(s),parse_projection_denominator(s),parse_projection_divisor(s),parse_projection_damage_cap(s),parse_projection_message_type(s),parse_projection_obvious(s),parse_projection_wake(s),parse_projection_color(s),init_parse_projection(s),run_parse_projection(s),finish_parse_projection(s),cleanup_projection(s),parse_object_base_defaults(s),parse_object_base_name(s),parse_object_base_graphics(s),parse_object_base_break(s),parse_object_base_max_stack(s),parse_object_base_flags(s),init_parse_object_base,run_parse_object_base(s),finish_parse_object_base(s),cleanup_object_base(s),parse_slay_code(s),parse_slay_name(s),parse_slay_race_flag(s),parse_slay_base(s),parse_slay_multiplier(s),parse_slay_o_multiplier(s),parse_slay_power(s),parse_slay_melee_verb(s),parse_slay_range_verb(s),init_parse_slay(s),run_parse_slay(s),cleanup_slay(s),parse_brand_code(s),parse_brand_name(s),parse_brand_verb(s),parse_brand_multiplier(s),parse_brand_o_multiplier(s),parse_brand_power(s),parse_brand_resist_flag(s),parse_brand_vuln_flag(s),init_parse_brand(s),run_parse_brand(s),finish_parse_brand(s),cleanup_brand(s),parse_curse_name(s),parse_curse_type(s),parse_curse_weight(s),parse_curse_combat(s),parse_curse_flags(s),parse_curse_values(s),parse_curse_effect(s),parse_curse_effect_yx(s),parse_curse_dice(s),parse_curse_expr(s),parse_curse_msg(s),parse_curse_time(s),parse_curse_desc(s),parse_curse_conflict_flags(s),init_parse_curse(s),run_parse_curse(s),finish_parse_curse(s),cleanup_curse(s),parse_act_name(s),parse_act_aim(s),parse_act_level(s),parse_act_power(s),parse_act_effect(s),parse_act_effect_yx(s),parse_act_dice(s),parse_act_expr(s),parse_act_msg(s),parse_act_desc(s),init_parse_act(s),run_parse_act(s),cleanup_act(s),parse_object_name(s),parse_object_graphics(s),parse_object_level(s),parse_object_weight(s),parse_object_cost(s),parse_object_alloc(s),parse_object_attack(s),parse_object_armor(s),parse_object_charges(s),parse_object_pile(s),parse_object_flags(s),parse_object_power(s),parse_object_effect(s),parse_object_effect_yx(s),parse_object_dice(s),parse_object_expr(s),parse_object_msg(s),parse_object_vis_msg(s),parse_object_time(s),parse_object_desc(s),parse_object_pval(s),parse_object_values(s),parse_object_slay(s),parse_object_brand(s),parse_object_curse(s),init_parse_object,run_parse_object(s),cleanup_object(s),parse_ego_name(s),parse_ego_info(s),parse_ego_alloc(s),parse_ego_type(s),parse_ego_item(s),parse_ego_combat(s),parse_ego_min(s),parse_ego_act(s),parse_ego_time(s),parse_ego_flags(s),parse_ego_flags_off(s),parse_ego_values(s),parse_ego_min_val(s),parse_ego_desc(s),parse_ego_slay(s),parse_ego_brand(s),parse_ego_curse(s),init_parse_ego,run_parse_ego(s),finish_parse_ego(s),cleanup_ego(s),parse_artifact_base_object(s),parse_artifact_graphics(s),parse_artifact_level(s),parse_artifact_weight(s),parse_artifact_cost(s),parse_artifact_alloc(s),parse_artifact_attack(s),parse_artifact_armor(s),parse_artifact_flags(s),parse_artifact_act(s),parse_artifact_time(s),parse_artifact_msg(s),parse_artifact_values(s),parse_artifact_desc(s),parse_artifact_slay(s),parse_artifact_brand(s),parse_artifact_curse(s),init_parse_artifact,run_parse_artifact(s),cleanup_artifact(s),run_parse_randart(s),finish_parse_randart(s),parse_object_property_name(s),parse_object_property_type(s),parse_object_property_subtype(s),parse_object_property_id_type(s),parse_object_property_code(s),parse_object_property_power(s),parse_object_property_mult(s),parse_object_property_type_mult(s),parse_object_property_adjective(s),parse_object_property_neg_adj(s),parse_object_property_msg(s),parse_object_property_desc(s),parse_object_property_bindui(s),init_parse_object_property(s),run_parse_object_property(s),cleanup_object_property(s)
data-init	reference/src/mon-init.c	133	0	14	119	116	flag_index_by_name(s),findmeth(s),parse_meth_name(s),parse_meth_cut(s),parse_meth_stun(s),parse_meth_miss(s),parse_meth_phys(s),parse_meth_message_type(s),parse_meth_act_msg(s),parse_meth_desc(s),init_parse_meth(s),run_parse_meth(s),finish_parse_meth(s),cleanup_meth(s),findeff(s),parse_eff_name(s),parse_eff_power(s),parse_eff_eval(s),parse_eff_desc(s),parse_eff_lore_color(s),parse_eff_lore_color_resist(s),parse_eff_lore_color_immune(s),parse_eff_effect_type(s),parse_eff_resist(s),parse_eff_lash_type(s),init_parse_eff(s),run_parse_eff(s),finish_parse_eff(s),cleanup_eff(s),parse_pain_type(s),parse_pain_message(s),init_parse_pain,run_parse_pain(s),finish_parse_pain(s),cleanup_pain(s),parse_mon_spell_name(s),parse_mon_spell_message_type(s),parse_mon_spell_hit(s),parse_mon_spell_effect(s),parse_mon_spell_effect_yx(s),parse_mon_spell_dice(s),parse_mon_spell_expr(s),parse_mon_spell_power_cutoff(s),parse_mon_spell_lore_desc(s),parse_mon_spell_lore_color(s),parse_mon_spell_lore_color_resist(s),parse_mon_spell_lore_color_immune(s),parse_mon_spell_message(s),parse_mon_spell_blind_message(s),parse_mon_spell_miss_message(s),parse_mon_spell_save_message(s),init_parse_mon_spell(s),run_parse_mon_spell(s),finish_parse_mon_spell(s),cleanup_mon_spell(s),parse_mon_base_name(s),parse_mon_base_glyph(s),parse_mon_base_pain(s),parse_mon_base_flags(s),parse_mon_base_desc(s),init_parse_mon_base(s),run_parse_mon_base(s),finish_parse_mon_base(s),cleanup_mon_base(s),parse_monster_name(s),parse_monster_speed(s),parse_monster_hit_points(s),parse_monster_light(s),parse_monster_smell(s),parse_monster_armor_class(s),parse_monster_sleepiness(s),parse_monster_rarity(s),parse_monster_experience(s),parse_monster_blow(s),parse_monster_flags(s),parse_monster_flags_off(s),parse_monster_desc(s),add_alternate_spell_message(s),parse_monster_msg_vis(s),parse_monster_msg_invis(s),parse_monster_msg_miss(s),parse_monster_drop(s),parse_monster_drop_base(s),parse_monster_friends_base(s),parse_monster_mimic(s),parse_monster_plural(s),init_parse_monster,run_parse_monster(s),cleanup_monster(s),parse_pit_name(s),parse_pit_room(s),parse_pit_alloc(s),parse_pit_obj_rarity(s),parse_pit_mon_base(s),parse_pit_mon_ban(s),parse_pit_color(s),parse_pit_flags_req(s),parse_pit_flags_ban(s),parse_pit_spell_req(s),parse_pit_spell_ban(s),init_parse_pit,run_parse_pit(s),finish_parse_pit(s),cleanup_pits(s),parse_lore_name(s),parse_lore_base(s),parse_lore_counts(s),parse_lore_blow(s),parse_lore_flags(s),parse_lore_spells(s),parse_lore_drop(s),parse_lore_drop_base(s),parse_lore_friends(s),parse_lore_friends_base(s),parse_lore_mimic(s),init_parse_lore(s),run_parse_lore(s),finish_parse_lore(s),cleanup_lore(s)
engine	reference/src/effect-handler-general.c	91	9	7	75	2	enchant2(s),effect_handler_RANDOM,effect_handler_NOURISH,effect_handler_CRUNCH,effect_handler_CURE,effect_handler_TIMED_SET,effect_handler_TIMED_INC,effect_handler_TIMED_INC_NO_RES,effect_handler_MON_TIMED_INC,effect_handler_TIMED_DEC,effect_handler_GLYPH,effect_handler_WEB,effect_handler_RESTORE_STAT,effect_handler_DRAIN_STAT,effect_handler_LOSE_RANDOM_STAT,effect_handler_GAIN_STAT,effect_handler_RESTORE_EXP,effect_handler_GAIN_EXP,effect_handler_DRAIN_LIGHT,effect_handler_DRAIN_MANA,effect_handler_RESTORE_MANA,effect_handler_RECALL,effect_handler_DEEP_DESCENT,effect_handler_ALTER_REALITY,effect_handler_MAP_AREA,effect_handler_READ_MINDS,effect_handler_DETECT_TRAPS,effect_handler_DETECT_DOORS,effect_handler_DETECT_STAIRS,effect_handler_DETECT_ORE,effect_handler_SENSE_GOLD,effect_handler_DETECT_GOLD,tval_is_not_money(s),effect_handler_SENSE_OBJECTS,effect_handler_DETECT_OBJECTS,effect_handler_DETECT_LIVING_MONSTERS,effect_handler_DETECT_VISIBLE_MONSTERS,effect_handler_DETECT_INVISIBLE_MONSTERS,effect_handler_DETECT_FEARFUL_MONSTERS,effect_handler_DETECT_EVIL,effect_handler_DETECT_SOUL,effect_handler_IDENTIFY,effect_handler_CREATE_STAIRS,effect_handler_DISENCHANT,effect_handler_ENCHANT,effect_handler_RECHARGE,effect_handler_ACQUIRE,effect_handler_WAKE,effect_handler_BANISH,effect_handler_MASS_BANISH,effect_handler_PROBE,effect_handler_TELEPORT,effect_handler_TELEPORT_TO,effect_handler_TELEPORT_LEVEL,effect_handler_RUBBLE,effect_handler_GRANITE,effect_handler_LIGHT_LEVEL,effect_handler_DARKEN_LEVEL,effect_handler_LIGHT_AREA,effect_handler_DARKEN_AREA,effect_handler_CURSE_ARMOR,effect_handler_CURSE_WEAPON,effect_handler_BRAND_WEAPON,effect_handler_BRAND_AMMO,effect_handler_BRAND_BOLTS,effect_handler_CREATE_ARROWS,effect_handler_TAP_DEVICE,effect_handler_SHAPECHANGE,effect_handler_COMMAND,effect_handler_BIZARRE,effect_handler_SELECT,effect_handler_SET_VALUE,effect_handler_CLEAR_VALUE,effect_handler_SCRAMBLE_STATS,effect_handler_UNSCRAMBLE_STATS
frontend	reference/src/main-win.c	76	0	2	74	67	show_win_error(s),analyze_font(s),check_dir(s),validate_file(s),validate_dir(s),term_getsize(s),save_prefs_aux(s),save_prefs(s),load_prefs_aux(s),new_palette(s),init_graphics(s),load_sound_win(s),play_sound_win(s),unload_sound_win(s),open_audio_win(s),close_audio_win(s),supported_files_win(s),init_sound_win,term_window_resize(s),term_remove_font(s),term_force_font(s),term_change_font(s),term_data_redraw(s),term_data_redraw_section(s),Term_init_win(s),Term_nuke_win(s),Term_xtra_win_react(s),Term_xtra_win_event(s),Term_xtra_win_flush(s),Term_xtra_win_clear(s),Term_xtra_win_noise(s),Term_xtra_win_delay(s),Term_xtra_win(s),Term_curs_win(s),Term_bigcurs_win(s),Term_wipe_win_helper(s),Term_wipe_win(s),Term_text_win(s),Term_pict_win(s),Term_mbstowcs_win,Term_wcsz_win,Term_wctomb_win,Term_iswprint_win,Term_pict_win_alpha(s),windows_map_aux(s),windows_map(s),term_view_map_hook(s),term_data_link(s),init_windows(s),stop_screensaver(s),check_for_save_file(s),screensaver_inkey_hack(s),start_screensaver(s),open_url(s),open_local_docs(s),display_help(s),process_menus(s),handle_wm_paint(s),extract_modifiers(s),handle_keydown(s),AngbandWndProc(s),AngbandListProc(s),AngbandSaverProc,hack_plog(s),hack_quit(s),hook_plog(s),hook_quit(s),init_stuff(s),win_reinit(s),WinMain,create_savefile_tracking_file(s),monitor_existing_savefile(s),monitor_new_savefile(s),finish_monitoring_savefile(s)
ui	reference/src/ui-knowledge.c	127	5	57	65	61	default_item_id(s),default_group_id(s),actual_width(s),actual_height(s),logical_width(s),logical_height(s),display_tiles(s),place_tile_cursor(s),remove_tiles(s),tile_picker_command(s),display_glyphs(s),glyph_command(s),display_group_member(s),recall_prompt(s),m_xchar(s),mon_lore(s),count_known_monsters(s),get_artifact_display_name(s),display_artifact(s),art2gid(s),collect_known_artifacts(s),ego_grp_name(s),display_ego_item(s),obj2gid(s),o_xchar(s),o_xattr(s),o_xtra_prompt(s),o_xtra_act(s),display_rune(s),rune_var_name(s),rune_xtra_prompt(s),rune_xtra_act(s),display_feature(s),fkind_name(s),f_xattr(s),f_xchar(s),feat_lore(s),feat_prompt(s),f_xtra_act(s),display_trap(s),tkind_name(s),t_xattr(s),t_xchar(s),trap_prompt(s),t_xtra_act(s),shape_lore_helper_append_to_list(s),shape_lore_append_stat_modifiers(s),parse_monster_category(s),parse_mcat_include_base(s),parse_mcat_include_flag(s),parse_mcat_include_other(s),run_ui_knowledge_parser(s),cleanup_ui_knowledge_parsed_data(s),do_cmd_knowledge_scores(s),do_cmd_knowledge_history(s),do_cmd_knowledge_equip_cmp(s),handle_store_shortcuts(s),cleanup_main_knowledge_menu(s),textui_knowledge_init,textui_knowledge_cleanup,textui_browse_knowledge,cmp_tkill(s),cmp_pkill(s),lookup_symbol(s),do_cmd_itemlist
ui	reference/src/ui-display.c	100	6	30	64	58	prt_title(s),prt_str(s),prt_dex(s),prt_wis(s),prt_int(s),prt_con(s),prt_race(s),prt_race_class_short(s),prt_class(s),prt_level_short(s),prt_stat_short(s),prt_exp_short(s),prt_ac_short(s),prt_gold_short(s),prt_hp_short(s),prt_sp_short(s),prt_health_short(s),prt_speed_short(s),prt_depth_short(s),prt_title_short(s),update_topbar(s),hp_colour_change(s),longest_terrain_name(s),update_statusline(s),trace_map_updates(s),update_maps(s),allow_animations,disallow_animations,idle_update,bolt_pict(s),display_explosion(s),display_bolt(s),display_missile(s),update_inven_subwindow(s),update_equip_subwindow(s),toggle_inven_equip,update_itemlist_subwindow(s),update_monlist_subwindow(s),update_monster_subwindow(s),update_object_subwindow(s),update_messages_subwindow(s),update_minimap_subwindow(s),update_player0_subwindow(s),update_player1_subwindow(s),update_topbar_subwindow(s),update_player_compact_subwindow(s),flush_subwindow(s),subwindow_flag_changed(s),subwindow_set_flags(s),subwindows_set_flags,init_angband_aux(s),splashscreen_note(s),show_splashscreen(s),repeated_command_display(s),new_level_display_update(s),check_panel(s),process_character_pref_files(s),ui_enter_init(s),ui_leave_init(s),ui_enter_world(s),ui_leave_world(s),ui_enter_game(s),ui_leave_game(s),init_display
engine	reference/src/project-feat.c	57	0	1	56	56	project_feature_handler_LIGHT_WEAK(s),project_feature_handler_DARK_WEAK(s),project_feature_handler_KILL_WALL(s),project_feature_handler_KILL_DOOR(s),project_feature_handler_KILL_TRAP(s),project_feature_handler_MAKE_DOOR(s),project_feature_handler_MAKE_TRAP(s),project_feature_handler_ACID(s),project_feature_handler_ELEC(s),project_feature_handler_FIRE(s),project_feature_handler_COLD(s),project_feature_handler_POIS(s),project_feature_handler_LIGHT(s),project_feature_handler_DARK(s),project_feature_handler_SOUND(s),project_feature_handler_SHARD(s),project_feature_handler_NEXUS(s),project_feature_handler_NETHER(s),project_feature_handler_CHAOS(s),project_feature_handler_DISEN(s),project_feature_handler_WATER(s),project_feature_handler_ICE(s),project_feature_handler_GRAVITY(s),project_feature_handler_INERTIA(s),project_feature_handler_FORCE(s),project_feature_handler_TIME(s),project_feature_handler_PLASMA(s),project_feature_handler_METEOR(s),project_feature_handler_MISSILE(s),project_feature_handler_MANA(s),project_feature_handler_HOLY_ORB(s),project_feature_handler_ARROW(s),project_feature_handler_AWAY_UNDEAD(s),project_feature_handler_AWAY_EVIL(s),project_feature_handler_AWAY_SPIRIT(s),project_feature_handler_AWAY_ALL(s),project_feature_handler_TURN_UNDEAD(s),project_feature_handler_TURN_EVIL(s),project_feature_handler_TURN_LIVING(s),project_feature_handler_TURN_ALL(s),project_feature_handler_DISP_UNDEAD(s),project_feature_handler_DISP_EVIL(s),project_feature_handler_DISP_ALL(s),project_feature_handler_SLEEP_UNDEAD(s),project_feature_handler_SLEEP_EVIL(s),project_feature_handler_SLEEP_ALL(s),project_feature_handler_MON_CLONE(s),project_feature_handler_MON_POLY(s),project_feature_handler_MON_HEAL(s),project_feature_handler_MON_SPEED(s),project_feature_handler_MON_SLOW(s),project_feature_handler_MON_CONF(s),project_feature_handler_MON_HOLD(s),project_feature_handler_MON_STUN(s),project_feature_handler_MON_DRAIN(s),project_feature_handler_MON_CRUSH(s)
engine	reference/src/project-mon.c	72	2	14	56	56	project_monster_handler_ACID(s),project_monster_handler_ELEC(s),project_monster_handler_FIRE(s),project_monster_handler_COLD(s),project_monster_handler_POIS(s),project_monster_handler_LIGHT(s),project_monster_handler_DARK(s),project_monster_handler_SOUND(s),project_monster_handler_SHARD(s),project_monster_handler_NEXUS(s),project_monster_handler_NETHER(s),project_monster_handler_CHAOS(s),project_monster_handler_DISEN(s),project_monster_handler_WATER(s),project_monster_handler_ICE(s),project_monster_handler_GRAVITY(s),project_monster_handler_INERTIA(s),project_monster_handler_FORCE(s),project_monster_handler_TIME(s),project_monster_handler_PLASMA(s),project_monster_handler_METEOR(s),project_monster_handler_MISSILE(s),project_monster_handler_MANA(s),project_monster_handler_HOLY_ORB(s),project_monster_handler_ARROW(s),project_monster_handler_LIGHT_WEAK(s),project_monster_handler_DARK_WEAK(s),project_monster_handler_KILL_WALL(s),project_monster_handler_KILL_DOOR(s),project_monster_handler_KILL_TRAP(s),project_monster_handler_MAKE_DOOR(s),project_monster_handler_MAKE_TRAP(s),project_monster_handler_AWAY_UNDEAD(s),project_monster_handler_AWAY_EVIL(s),project_monster_handler_AWAY_SPIRIT(s),project_monster_handler_AWAY_ALL(s),project_monster_handler_TURN_UNDEAD(s),project_monster_handler_TURN_EVIL(s),project_monster_handler_TURN_LIVING(s),project_monster_handler_TURN_ALL(s),project_monster_handler_DISP_UNDEAD(s),project_monster_handler_DISP_EVIL(s),project_monster_handler_DISP_ALL(s),project_monster_handler_SLEEP_UNDEAD(s),project_monster_handler_SLEEP_EVIL(s),project_monster_handler_SLEEP_ALL(s),project_monster_handler_MON_CLONE(s),project_monster_handler_MON_POLY(s),project_monster_handler_MON_HEAL(s),project_monster_handler_MON_SPEED(s),project_monster_handler_MON_SLOW(s),project_monster_handler_MON_CONF(s),project_monster_handler_MON_HOLD(s),project_monster_handler_MON_STUN(s),project_monster_handler_MON_DRAIN(s),project_monster_handler_MON_CRUSH(s)
engine	reference/src/project-obj.c	59	1	3	55	55	project_object_handler_ACID(s),project_object_handler_ELEC(s),project_object_handler_FIRE(s),project_object_handler_COLD(s),project_object_handler_POIS(s),project_object_handler_LIGHT(s),project_object_handler_DARK(s),project_object_handler_SOUND(s),project_object_handler_SHARD(s),project_object_handler_NEXUS(s),project_object_handler_NETHER(s),project_object_handler_CHAOS(s),project_object_handler_DISEN(s),project_object_handler_WATER(s),project_object_handler_ICE(s),project_object_handler_GRAVITY(s),project_object_handler_INERTIA(s),project_object_handler_FORCE(s),project_object_handler_TIME(s),project_object_handler_PLASMA(s),project_object_handler_METEOR(s),project_object_handler_MISSILE(s),project_object_handler_MANA(s),project_object_handler_HOLY_ORB(s),project_object_handler_ARROW(s),project_object_handler_LIGHT_WEAK(s),project_object_handler_DARK_WEAK(s),project_object_handler_KILL_WALL(s),project_object_handler_KILL_DOOR(s),project_object_handler_MAKE_DOOR(s),project_object_handler_MAKE_TRAP(s),project_object_handler_AWAY_UNDEAD(s),project_object_handler_AWAY_EVIL(s),project_object_handler_AWAY_SPIRIT(s),project_object_handler_AWAY_ALL(s),project_object_handler_TURN_UNDEAD(s),project_object_handler_TURN_EVIL(s),project_object_handler_TURN_LIVING(s),project_object_handler_TURN_ALL(s),project_object_handler_DISP_UNDEAD(s),project_object_handler_DISP_EVIL(s),project_object_handler_DISP_ALL(s),project_object_handler_SLEEP_UNDEAD(s),project_object_handler_SLEEP_EVIL(s),project_object_handler_SLEEP_ALL(s),project_object_handler_MON_CLONE(s),project_object_handler_MON_POLY(s),project_object_handler_MON_HEAL(s),project_object_handler_MON_SPEED(s),project_object_handler_MON_SLOW(s),project_object_handler_MON_CONF(s),project_object_handler_MON_HOLD(s),project_object_handler_MON_STUN(s),project_object_handler_MON_DRAIN(s),project_object_handler_MON_CRUSH(s)
