status	name	kind	file	line	prodRefs	testRefs	reachableRefs	selfRefs
TEST-ONLY	cmdVerb	function	packages/core/src/cmd.ts	284	0	1	0	1
TEST-ONLY	cmdSetArg	function	packages/core/src/cmd.ts	335	0	1	0	1
TEST-ONLY	cmdGetArg	function	packages/core/src/cmd.ts	343	0	1	0	1
TEST-ONLY	resetColorTable	function	packages/core/src/color.ts	221	0	2	0	1
ORPHAN	COLOUR_TEAL	const	packages/core/src/color.ts	28	0	0	0	1
TEST-ONLY	COLOUR_MUD	const	packages/core/src/color.ts	29	0	1	0	1
ORPHAN	COLOUR_L_YELLOW	const	packages/core/src/color.ts	30	0	0	0	1
TEST-ONLY	COLOUR_MAGENTA	const	packages/core/src/color.ts	31	0	1	0	1
ORPHAN	COLOUR_L_VIOLET	const	packages/core/src/color.ts	33	0	0	0	1
ORPHAN	COLOUR_L_PINK	const	packages/core/src/color.ts	34	0	0	0	1
ORPHAN	COLOUR_MUSTARD	const	packages/core/src/color.ts	35	0	0	0	1
ORPHAN	COLOUR_BLUE_SLATE	const	packages/core/src/color.ts	36	0	0	0	1
TEST-ONLY	COLOUR_DEEP_L_BLUE	const	packages/core/src/color.ts	37	0	1	0	1
TEST-ONLY	ATTR_MONO	const	packages/core/src/color.ts	51	0	1	0	1
TEST-ONLY	ATTR_VGA	const	packages/core/src/color.ts	52	0	1	0	1
TEST-ONLY	ATTR_BLIND	const	packages/core/src/color.ts	53	0	1	0	1
TEST-ONLY	ATTR_HIGH	const	packages/core/src/color.ts	56	0	1	0	1
TEST-ONLY	ATTR_METAL	const	packages/core/src/color.ts	57	0	1	0	1
ORPHAN	ATTR_MISC	const	packages/core/src/color.ts	58	0	0	0	1
TEST-ONLY	learnBrandSlayFromLaunch	function	packages/core/src/combat/brand-slay.ts	337	0	1	0	1
TEST-ONLY	learnBrandSlayFromThrow	function	packages/core/src/combat/brand-slay.ts	353	0	1	0	1
TEST-ONLY	RESOLVED_BLOW_EFFECTS	const	packages/core/src/combat/mon-melee.ts	600	0	1	0	1
DEAD-LOCAL	STATE_BASE_DIGIT	local-const	packages/core/src/dice.ts	42	0	0	0	1
DEAD-LOCAL	STATE_DICE_DIGIT	local-const	packages/core/src/dice.ts	44	0	0	0	1
DEAD-LOCAL	STATE_SIDE_DIGIT	local-const	packages/core/src/dice.ts	46	0	0	0	1
DEAD-LOCAL	STATE_BONUS_DIGIT	local-const	packages/core/src/dice.ts	49	0	0	0	1
ORPHAN	EFFECT_VALUE_BASE_NAMES	const	packages/core/src/effects/effect.ts	371	0	0	0	1
TEST-ONLY	GAME_EVENT_TYPES	const	packages/core/src/events.ts	163	0	1	0	1
TEST-ONLY	countChests	function	packages/core/src/game/chest.ts	113	0	1	0	1
ORPHAN	ATTACK_HANDLER_CODES	const	packages/core/src/game/effect-attack.ts	740	0	0	0	1
ORPHAN	DETECT_HANDLER_CODES	const	packages/core/src/game/effect-detect.ts	524	0	0	0	1
ORPHAN	GENERAL_HANDLER_CODES	const	packages/core/src/game/effect-general.ts	1026	0	0	0	1
ORPHAN	ITEM_HANDLER_CODES	const	packages/core/src/game/effect-item.ts	977	0	0	0	1
ORPHAN	MELEE_HANDLER_CODES	const	packages/core/src/game/effect-melee.ts	518	0	0	0	1
ORPHAN	MONSTER_HANDLER_CODES	const	packages/core/src/game/effect-monster.ts	285	0	0	0	1
ORPHAN	SUMMON_HANDLER_CODES	const	packages/core/src/game/effect-summon.ts	161	0	0	0	1
ORPHAN	TELEPORT_HANDLER_CODES	const	packages/core/src/game/effect-teleport.ts	614	0	0	0	1
ORPHAN	TERRAIN_HANDLER_CODES	const	packages/core/src/game/effect-terrain.ts	783	0	0	0	1
TEST-ONLY	canAct	function	packages/core/src/game/energy.ts	38	0	1	0	1
TEST-ONLY	gainEnergy	function	packages/core/src/game/energy.ts	46	0	1	0	1
TEST-ONLY	spendEnergy	function	packages/core/src/game/energy.ts	59	0	1	0	1
TEST-ONLY	NORMAL_SPEED	const	packages/core/src/game/energy.ts	32	0	1	0	1
TEST-ONLY	cycleStoreInclusion	function	packages/core/src/game/equip-cmp.ts	68	0	1	0	1
MODULE-UNREACHABLE	makeBlow	function	packages/core/src/game/harness.ts	82	0	3	0	1
MODULE-UNREACHABLE	makeRace	function	packages/core/src/game/harness.ts	108	0	39	0	1
MODULE-UNREACHABLE	makePlayer	function	packages/core/src/game/harness.ts	126	0	3	0	2
MODULE-UNREACHABLE	defaultCombat	function	packages/core/src/game/harness.ts	139	0	0	0	2
MODULE-UNREACHABLE	defaultDefense	function	packages/core/src/game/harness.ts	155	0	0	0	2
MODULE-UNREACHABLE	openField	function	packages/core/src/game/harness.ts	160	0	5	0	2
MODULE-UNREACHABLE	makeState	function	packages/core/src/game/harness.ts	185	0	68	0	1
MODULE-UNREACHABLE	addMon	function	packages/core/src/game/harness.ts	255	0	41	0	1
MODULE-UNREACHABLE	featureReg	const	packages/core/src/game/harness.ts	50	0	12	0	4
MODULE-UNREACHABLE	FLOOR	const	packages/core/src/game/harness.ts	51	18	28	18	3
MODULE-UNREACHABLE	GRANITE	const	packages/core/src/game/harness.ts	52	10	30	10	3
